X1	Y1	NormalY1	X2	InterpolY2
99.6607	2.52595	78.93594	99	79.08158
99.6609	2.52594	78.93563	100	78.93438
99.6594	2.52605	78.93906	101	78.92159
99.6567	2.52615	78.94219	102	78.90934
99.6547	2.52614	78.94187	103	78.88886
99.6579	2.52613	78.94156	104	78.85198
99.6602	2.52621	78.94406	105	78.79781
99.6498	2.52618	78.94313	106	78.74021
99.6542	2.52615	78.94219	107	78.69564
99.6609	2.52623	78.94469	108	78.6159
99.6619	2.52618	78.94313	109	78.56578
99.6546	2.52616	78.9425	110	78.51338
99.6653	2.52619	78.94344	111	78.44568
99.6631	2.52618	78.94313	112	78.37969
99.6632	2.52627	78.94594	113	78.33246
99.6681	2.52628	78.94625	114	78.27624
99.6662	2.52611	78.94094	115	78.2102
99.6656	2.52613	78.94156	116	78.15255
99.6732	2.52634	78.94813	117	78.09887
99.6833	2.52635	78.94844	118	78.04342
99.6852	2.52638	78.94938	119	77.98435
99.6829	2.52643	78.95094	120	77.93921
99.6814	2.52638	78.94938	121	77.85413
99.6846	2.52626	78.94562	122	77.81281
99.691	2.52631	78.94719	123	77.73151
99.7093	2.52645	78.95156	124	77.69091
99.7171	2.52647	78.95219	125	77.62266
99.721	2.52643	78.95094	126	77.54738
99.7219	2.52638	78.94938	127	77.48331
99.7273	2.52645	78.95156	128	77.4245
99.735	2.52654	78.95437	129	77.3498
99.749	2.52654	78.95437	130	77.29171
99.7639	2.52643	78.95094	131	77.23213
99.7738	2.5263	78.94688	132	77.14927
99.7912	2.52642	78.95063	133	77.08904
99.8051	2.52661	78.95656	134	77.02687
99.8153	2.5264	78.95	135	76.95115
99.8257	2.52633	78.94781	136	76.89203
99.8387	2.52632	78.9475	137	76.81807
99.8564	2.52609	78.94031	138	76.76718
99.8731	2.52597	78.93656	139	76.67799
99.8806	2.52596	78.93625	140	76.61866
99.8983	2.52593	78.93531	141	76.54965
99.9152	2.52584	78.9325	142	76.4559
99.9348	2.52599	78.93719	143	76.4128
99.9576	2.52597	78.93656	144	76.31054
99.9838	2.52585	78.93281	145	76.25216
100	2.5259	78.93438	146	76.17602
100.019	2.52599	78.93719	147	76.10688
100.041	2.52601	78.93781	148	76.03581
100.061	2.52594	78.93563	149	75.96438
100.085	2.52591	78.93469	150	75.8873
100.107	2.52591	78.93469	151	75.81892
100.127	2.52598	78.93688	152	75.72705
100.156	2.52591	78.93469	153	75.66
100.187	2.52612	78.94125	154	75.57492
100.217	2.52642	78.95063	155	75.50375
100.246	2.52645	78.95156	156	75.41376
100.272	2.52658	78.95562	157	75.34099
100.313	2.52665	78.95781	158	75.26294
100.342	2.5265	78.95313	159	75.18192
100.368	2.52647	78.95219	160	75.12102
100.398	2.52618	78.94313	161	75.02514
100.433	2.52548	78.92125	162	74.95182
100.468	2.52546	78.92063	163	74.84631
100.506	2.52581	78.93156	164	74.79125
100.545	2.52585	78.93281	165	74.70365
100.577	2.52586	78.93312	166	74.63373
100.615	2.52583	78.93219	167	74.52941
100.655	2.52576	78.93	168	74.42525
100.695	2.52578	78.93063	169	74.35862
100.736	2.52584	78.9325	170	74.28014
100.77	2.52582	78.93188	171	74.18781
100.82	2.52584	78.9325	172	74.10844
100.871	2.52593	78.93531	173	74.01208
100.906	2.52564	78.92625	174	73.90685
100.953	2.52539	78.91844	175	73.82516
100.998	2.52549	78.92156	176	73.74375
101.043	2.52551	78.92219	177	73.63968
101.09	2.52549	78.92156	178	73.56009
101.134	2.52545	78.92031	179	73.46425
101.169	2.52539	78.91844	180	73.38615
101.211	2.52548	78.92125	181	73.28445
101.267	2.52551	78.92219	182	73.20526
101.314	2.52544	78.92	183	73.10094
101.364	2.52545	78.92031	184	73.01421
101.413	2.52547	78.92094	185	72.91797
101.46	2.52542	78.91938	186	72.79522
101.499	2.52544	78.92	187	72.7255
101.557	2.52545	78.92031	188	72.62515
101.608	2.52539	78.91844	189	72.53816
101.647	2.52543	78.91969	190	72.43826
101.699	2.52546	78.92063	191	72.35837
101.751	2.52553	78.92281	192	72.22025
101.803	2.52552	78.9225	193	72.15617
101.855	2.52526	78.91437	194	72.06033
101.909	2.52505	78.90781	195	71.93484
101.964	2.52507	78.90844	196	71.82602
102.014	2.52511	78.90969	197	71.72774
102.059	2.52509	78.90906	198	71.65158
102.11	2.52514	78.91062	199	71.55557
102.165	2.52496	78.905	200	71.42375
102.221	2.5247	78.89688	201	71.32338
102.273	2.52472	78.8975	202	71.22601
102.318	2.52471	78.89719	203	71.10158
102.371	2.52473	78.89781	204	71.01355
102.425	2.52486	78.90187	205	70.8675
102.478	2.52493	78.90406	206	70.75676
102.53	2.52491	78.90344	207	70.65119
102.579	2.52483	78.90094	208	70.56113
102.632	2.52474	78.89812	209	70.44185
102.684	2.52469	78.89656	210	70.31063
102.738	2.52469	78.89656	211	70.20781
102.802	2.52479	78.89969	212	70.08778
102.849	2.52481	78.90031	213	69.96977
102.893	2.52481	78.90031	214	69.83703
102.94	2.52487	78.90219	215	69.7333
102.999	2.52445	78.88906	216	69.60311
103.052	2.5241	78.87812	217	69.5043
103.101	2.52423	78.88219	218	69.36265
103.15	2.52396	78.87375	219	69.25719
103.203	2.52363	78.86344	220	69.12204
103.252	2.52357	78.86156	221	68.97875
103.305	2.52358	78.86187	222	68.87523
103.36	2.52365	78.86406	223	68.74276
103.412	2.52368	78.865	224	68.62308
103.461	2.52363	78.86344	225	68.46094
103.512	2.52374	78.86688	226	68.3754
103.558	2.52376	78.8675	227	68.23966
103.605	2.52372	78.86625	228	68.09594
103.661	2.52388	78.87125	229	67.96851
103.711	2.52396	78.87375	230	67.84347
103.764	2.52353	78.86031	231	67.6944
103.819	2.52317	78.84906	232	67.53438
103.868	2.5233	78.85312	233	67.40707
103.915	2.5233	78.85312	234	67.2838
103.962	2.52324	78.85125	235	67.10827
104.011	2.52327	78.85219	236	66.97886
104.064	2.52327	78.85219	237	66.82153
104.111	2.52294	78.84188	238	66.66845
104.159	2.52272	78.835	239	66.54307
104.207	2.52271	78.83469	240	66.40937
104.255	2.52253	78.82906	241	66.21364
104.304	2.52249	78.82781	242	66.06545
104.349	2.52251	78.82844	243	65.91266
104.395	2.52216	78.8175	244	65.74169
104.44	2.52191	78.80969	245	65.5776
104.487	2.52202	78.81312	246	65.40604
104.535	2.52201	78.81281	247	65.25156
104.587	2.52196	78.81125	248	65.07927
104.637	2.52186	78.80813	249	64.87656
104.676	2.52192	78.81	250	64.6984
104.719	2.52202	78.81312	251	64.51257
104.764	2.52206	78.81437	252	64.32661
104.809	2.52205	78.81406	253	64.10186
104.851	2.52202	78.81312	254	63.90944
104.893	2.52208	78.815	255	63.70524
104.938	2.52183	78.80719	256	63.46144
104.982	2.52153	78.79781	257	63.24009
105.026	2.52153	78.79781	258	62.99779
105.069	2.52154	78.79812	259	62.75612
105.112	2.52126	78.78937	260	62.45288
105.152	2.52096	78.78	261	62.17781
105.192	2.52099	78.78094	262	61.86196
105.237	2.52105	78.78281	263	61.51671
105.276	2.52104	78.7825	264	61.12578
105.318	2.52109	78.78406	265	60.67219
105.365	2.52117	78.78656	266	60.11684
105.411	2.52107	78.78344	267	59.15812
105.447	2.52098	78.78062	268	58.07714
105.48	2.52109	78.78406	269	56.63933
105.518	2.52119	78.78719	270	54.5665
105.565	2.52077	78.77406	271	52.25717
105.602	2.52042	78.76313	272	49.87826
105.643	2.52038	78.76187	273	46.63854
105.681	2.52039	78.76219	274	42.1928
105.718	2.52054	78.76687	275	35.71569
105.755	2.52054	78.76687	276	27.14693
105.794	2.52014	78.75437	277	18.46475
105.836	2.51979	78.74344	278	14.44181
105.879	2.5197	78.74063	279	12.86267
105.918	2.51959	78.73719	280	12.04579
105.946	2.51953	78.73531	281	11.56169
105.98	2.51962	78.73812	282	11.19721
106.016	2.51974	78.74188	283	10.88354
106.057	2.51976	78.7425	284	10.61097
106.102	2.51976	78.7425	285	10.36866
106.145	2.51977	78.74281	286	10.13289
106.178	2.51979	78.74344	287	9.92884
106.21	2.51977	78.74281	288	9.73646
106.256	2.51968	78.74	289	9.55419
106.287	2.5193	78.72812	290	9.39916
106.318	2.51902	78.71938	291	9.23687
106.352	2.51904	78.72	292	9.08393
106.391	2.51898	78.71813	293	8.94296
106.43	2.51887	78.71469	294	8.80782
106.458	2.51845	78.70156	295	8.68688
106.486	2.51809	78.69031	296	8.57468
106.527	2.51813	78.69156	297	8.43185
106.566	2.51816	78.6925	298	8.30897
106.603	2.51804	78.68875		
106.639	2.51803	78.68844		
106.677	2.51813	78.69156		
106.711	2.51819	78.69344		
106.735	2.51826	78.69563		
106.765	2.51822	78.69437		
106.809	2.51811	78.69094		
106.855	2.51808	78.69		
106.881	2.51803	78.68844		
106.91	2.51807	78.68969		
106.944	2.5182	78.69375		
106.978	2.51828	78.69625		
107.012	2.51825	78.69531		
107.047	2.51797	78.68656		
107.082	2.51779	78.68094		
107.117	2.51768	78.6775		
107.158	2.5176	78.675		
107.19	2.51769	78.67781		
107.221	2.51774	78.67937		
107.253	2.51745	78.67031		
107.274	2.51715	78.66094		
107.309	2.51714	78.66062		
107.35	2.51713	78.66031		
107.389	2.51699	78.65594		
107.421	2.51675	78.64844		
107.455	2.51666	78.64562		
107.486	2.51661	78.64406		
