X1,Y1,X2,Y2,X3,Y3,X4,Y4
10.02571,447.5,10.02571,383.32999,10.02571,-658.51202,22.40841,-204.25
10.04571,397.5,10.04571,383.32999,10.04571,-708.51202,22.46491,-204.25
10.06571,420,10.06571,383.32999,10.06571,-686.01202,31.73421,-204.25
10.08571,410,10.08571,383.32999,10.08571,-696.01202,31.81521,-204.25
10.10571,412.5,10.10571,383.32999,10.10571,-693.51202,32.06331,-204.25
10.12571,412.5,10.12571,383.32999,10.12571,-693.51202,32.14521,-204.25
10.14571,452.5,10.14571,383.32999,10.14571,-653.51202,37.63021,-204.25
10.16571,557.5,10.16571,383.32999,10.16571,-548.51202,37.72731,-204.25
10.18571,422.5,10.18571,383.32999,10.18571,-683.51202,38.92011,-204.25
10.20571,417.5,10.20571,383.32999,10.20571,-688.51202,39.02081,-204.25
10.22571,417.5,10.22571,383.32999,10.22571,-688.51202,39.47051,-204.25
10.24571,337.5,10.24571,383.32999,10.24571,-768.51202,39.57281,-204.25
10.26571,387.5,10.26571,383.32999,10.26571,-718.51202,45.73651,-204.25
10.28571,422.5,10.28571,383.32999,10.28571,-683.51202,45.85671,-204.25
10.30571,427.5,10.30571,383.32999,10.30571,-678.51202,50.36371,-204.25
10.32571,412.5,10.32571,383.32999,10.32571,-693.51202,50.49771,-204.25
10.34571,447.5,10.34571,383.32999,10.34571,-658.51202,51.28221,-204.25
10.36571,412.5,10.36571,383.32999,10.36571,-693.51202,51.41901,-204.25
10.38571,330,10.38571,383.32999,10.38571,-776.01202,51.72671,-204.25
10.40571,377.5,10.40571,383.32999,10.40571,-728.51202,51.86481,-204.25
10.42571,410,10.42571,383.32999,10.42571,-696.01202,56.32181,-204.25
10.44571,380,10.44571,383.32999,10.44571,-726.01202,56.47441,-204.25
10.46571,420,10.46571,383.32999,10.46571,-686.01202,56.94661,-204.25
10.48571,472.5,10.48571,383.32999,10.48571,-633.51202,57.10111,-204.25
10.50571,495,10.50571,383.32999,10.50571,-611.01202,57.15381,-204.25
10.52571,490,10.52571,383.32999,10.52571,-616.01202,57.30911,-204.25
10.54571,372.5,10.54571,383.32999,10.54571,-733.51202,60.66421,-204.25
10.56571,355,10.56571,383.32999,10.56571,-751.01202,60.83101,-204.25
10.58571,380,10.58571,383.32999,10.58571,-726.01202,66.29741,-204.25
10.60571,420,10.60571,383.32999,10.60571,-686.01202,66.48351,-204.25
10.62571,420,10.62571,383.32999,10.62571,-686.01202,67.05501,-204.25
10.64571,375,10.64571,383.32999,10.64571,-731.01202,67.24391,-204.25
10.66571,352.5,10.66571,383.32999,10.66571,-753.51202,69.63421,-204.25
