Field(G)	Data(M)	Normalized(M/0.11)
45.8487	0.00162	0.14738
141.218	0.00563	0.51186
236.292	0.01013	0.9213
331.771	0.01497	1.36091
426.841	0.02008	1.82534
522.301	0.02543	2.31199
617.34	0.03097	2.81589
712.767	0.03675	3.3412
807.801	0.04271	3.88237
902.677	0.04881	4.43763
997.39	0.05505	5.0042
1092.74	0.06146	5.58718
1188	0.06801	6.18287
1283.01	0.07464	6.78525
1378.47	0.0814	7.39975
1473.53	0.08819	8.01766
1568.93	0.0951	8.64563
1663.98	0.10203	9.27582
1759.41	0.10905	9.91336
1854.47	0.11605	10.54973
1949.87	0.12312	11.19245
2084.13	0.1314	11.94536
2283.33	0.14458	13.14373
2483.65	0.15918	14.47091
2683.27	0.1738	15.80036
2883.7	0.18818	17.10682
3083.31	0.20214	18.376
3283.7	0.21569	19.60827
3483.3	0.22864	20.78591
3683.65	0.24097	21.906
3883.25	0.25239	22.94418
4083.64	0.26211	23.82782
4283.54	0.27175	24.70445
4483.29	0.28058	25.50764
4683.59	0.28854	26.23109
4883.15	0.29561	26.87318
5215.64	0.30392	27.62909
5714.03	0.31568	28.69845
6215.22	0.32524	29.56718
6714.13	0.33257	30.23318
7214.99	0.33847	30.76991
7713.93	0.34349	31.22627
8214.69	0.3479	31.62682
8713.61	0.35185	31.98682
9214.76	0.35546	32.31491
9714.71	0.35881	32.61891
10213.6	0.3619	32.90045
10714.4	0.36484	33.16736
11213.2	0.36766	33.42327
11713.9	0.37035	33.66827
12212.4	0.3729	33.90045
12712.7	0.37535	34.12264
13210.8	0.37768	34.33427
13710.7	0.37992	34.53791
13750.5	0.38074	34.61245
13248	0.37894	34.44864
12745.7	0.37668	34.24382
12245.7	0.37432	34.02945
11744	0.37189	33.80845
11244.6	0.36934	33.57682
10743.3	0.36668	33.33436
10244.3	0.3639	33.08155
9743.03	0.361	32.81845
9243.94	0.35801	32.54655
8743.01	0.35482	32.25664
8243.17	0.35146	31.95045
7743.7	0.34788	31.62518
7242.73	0.34413	31.28427
6743.59	0.34014	30.92191
6242.58	0.33594	30.54018
5743.81	0.3314	30.12764
5242.57	0.32647	29.67927
4916.83	0.3224	29.30927
4717.2	0.32006	29.09655
4517.62	0.31776	28.887
4317.21	0.31536	28.66945
4117.46	0.31285	28.44064
3917.35	0.31024	28.20382
3717.19	0.30752	27.95664
3517.57	0.30463	27.69391
3317.13	0.30163	27.42118
3117.62	0.29855	27.14055
2917.13	0.29527	26.843
2717.56	0.29184	26.53055
2517.16	0.28813	26.19382
2317.53	0.28419	25.83536
2117.13	0.27999	25.45382
1965.34	0.27617	25.106
1865.66	0.27362	24.87455
1765.56	0.27113	24.64773
1665.79	0.26855	24.41382
1565.57	0.26589	24.17218
1465.76	0.26311	23.91936
1365.58	0.26019	23.65373
1265.78	0.25716	23.37782
1165.59	0.25397	23.08809
1065.78	0.25064	22.78582
965.582	0.24712	22.46582
865.632	0.24341	22.12836
765.724	0.23953	21.77536
665.612	0.23538	21.39773
565.8	0.231	20.99955
465.57	0.2263	20.57309
365.78	0.22138	20.12545
265.591	0.21604	19.63955
165.794	0.21036	19.12373
65.6131	0.20417	18.56045
-32.4867	0.19714	17.92145
-132.444	0.18907	17.18836
-232.397	0.18071	16.42791
-332.313	0.17223	15.657
-432.449	0.16369	14.881
-532.257	0.155	14.09091
-632.435	0.14594	13.267
-732.232	0.13674	12.43064
-832.446	0.12726	11.56927
-932.234	0.11764	10.69409
-1032.46	0.1077	9.791
-1132.28	0.09756	8.86886
-1232.43	0.08712	7.92035
-1332.28	0.07657	6.96065
-1432.4	0.06573	5.97587
-1532.44	0.0547	4.97245
-1632.2	0.04356	3.96036
-1732.48	0.03224	2.93083
-1832.27	0.02082	1.89275
-1932.46	0.00934	0.84908
-2069.95	-0.00378	-0.34396
-2269.54	-0.02416	-2.19622
-2469.15	-0.04703	-4.27556
-2669.55	-0.07035	-6.39566
-2869.28	-0.09343	-8.49321
-3069.46	-0.11612	-10.55645
-3269.58	-0.1382	-12.56364
-3469.06	-0.15944	-14.49464
-3669.53	-0.17983	-16.34836
-3869.13	-0.19889	-18.08127
-4069.49	-0.21667	-19.69718
-4268.13	-0.23284	-21.16755
-4467.54	-0.24743	-22.49373
-4667.12	-0.26056	-23.68691
-4867.53	-0.2722	-24.74555
-5193.43	-0.28507	-25.91509
-5691.95	-0.30322	-27.56582
-6192.77	-0.31744	-28.85782
-6691.77	-0.32761	-29.78264
-7192.72	-0.33524	-30.47591
-7691.72	-0.34118	-31.01591
-8192.59	-0.34612	-31.46555
-8691.27	-0.35044	-31.85791
-9192.46	-0.35427	-32.20664
-9691.48	-0.35771	-32.51927
-10192.4	-0.36096	-32.81409
-10691.9	-0.364	-33.09127
-11191.1	-0.36688	-33.35282
-11691.7	-0.36962	-33.60209
-12190.1	-0.37217	-33.834
-12690.5	-0.37461	-34.05536
-13188.6	-0.37694	-34.26764
-13688.4	-0.37919	-34.47209
-13756.3	-0.38015	-34.55891
-13254.5	-0.3784	-34.40009
-12753.7	-0.37616	-34.19636
-12251.6	-0.37381	-33.98255
-11751.6	-0.37142	-33.76509
-11250.7	-0.36889	-33.53564
-10750.2	-0.36625	-33.29573
-10251.2	-0.36352	-33.047
-9749.85	-0.36064	-32.78555
-9250.83	-0.35764	-32.51245
-8749.86	-0.35445	-32.22264
-8250.76	-0.35109	-31.91727
-7749.63	-0.34755	-31.59527
-7250.59	-0.34388	-31.26145
-6749.52	-0.33991	-30.90082
-6250.15	-0.33574	-30.52182
-5749.91	-0.33123	-30.11145
-5249.45	-0.32631	-29.66455
-4914.81	-0.32215	-29.28673
-4714.96	-0.31981	-29.07382
-4515.32	-0.31749	-28.86245
-4314.93	-0.31509	-28.64482
-4115.31	-0.31257	-28.41564
-3914.92	-0.30998	-28.18018
-3715.33	-0.30727	-27.93336
-3514.95	-0.30438	-27.67091
-3315.04	-0.30139	-27.39945
-3115.13	-0.29826	-27.11473
-2914.86	-0.29496	-26.81491
-2715.29	-0.29148	-26.49782
-2514.92	-0.28776	-26.15991
-2315.3	-0.2838	-25.79991
-2114.89	-0.27958	-25.41673
-1967.18	-0.27583	-25.07555
-1867.27	-0.27329	-24.84491
-1767.46	-0.27083	-24.62082
-1667.26	-0.26827	-24.38782
-1567.3	-0.26555	-24.14127
-1467.4	-0.26274	-23.88509
-1367.27	-0.25984	-23.62191
-1267.48	-0.25679	-23.34418
-1167.27	-0.25357	-23.05191
-1067.45	-0.25023	-22.74809
-967.259	-0.2467	-22.42682
-867.476	-0.24298	-22.089
-767.251	-0.23907	-21.73382
-667.468	-0.23495	-21.35918
-567.271	-0.23051	-20.95545
-467.455	-0.22581	-20.52836
-367.84	-0.22087	-20.07891
-268.273	-0.21553	-19.59391
-168.458	-0.20981	-19.074
-68.3107	-0.20353	-18.50282
29.2701	-0.19642	-17.85627
129.215	-0.18815	-17.10409
229.049	-0.17967	-16.33355
329.225	-0.1711	-15.55427
429.039	-0.16243	-14.76645
529.23	-0.15366	-13.969
629.091	-0.14476	-13.16027
729.133	-0.13556	-12.32318
829.232	-0.12618	-11.47109
929.038	-0.11656	-10.59618
1029.23	-0.10656	-9.68755
1129.03	-0.09644	-8.76735
1229.22	-0.08606	-7.82323
1329.03	-0.07548	-6.86165
1429.23	-0.06463	-5.87512
1529.02	-0.05367	-4.87923
1629.24	-0.0425	-3.86345
1729.13	-0.03122	-2.83786
1829.15	-0.01981	-1.80122
1929.22	-0.00831	-0.75561
2068.53	0.00487	0.4423
2268.35	0.02533	2.30315
2467.95	0.04823	4.38448
2668.38	0.07149	6.49954
2868.02	0.09454	8.59429
3068.4	0.1172	10.65427
3267.94	0.1391	12.64518
3468.37	0.16031	14.57364
3668.19	0.18054	16.41255
3868.15	0.1996	18.14509
4068.34	0.21726	19.75073
4268	0.23342	21.22009
4468.34	0.24803	22.54827
4667.94	0.26111	23.73764
4868.32	0.27275	24.79536
5191.34	0.28547	25.95164
5691.22	0.30351	27.59164
6190.28	0.31758	28.87055
6691.24	0.32765	29.78664
7190.19	0.33518	30.47127
7690.89	0.34114	31.01255
8190.82	0.34608	31.46227
8689.83	0.3504	31.85473
9190.87	0.35424	32.204
9689.58	0.35772	32.51964
10190.7	0.36092	32.81118
10689.5	0.36392	33.08327
11190.2	0.36676	33.34218
11689	0.36944	33.58518
12189.5	0.37202	33.82018
12688.1	0.3747	34.06373
13187.8	0.37703	34.27564
13686.8	0.37912	34.46582
